Supplier,Ref,Label,Qty, Price , Price Tot 
Thorlabs,CP14/M,"30 mm Cage Plate with Ø1/2"" Double Bore, M4 Tap",1, € 21.22 , € 21.22 
Thorlabs,CFH1R,"30 mm Cage Plate with Removable Filter Holder for Ø1/2"" Optics, 8-32 and M4 Taps",1, € 72.55 , € 72.55 
Thorlabs,ER2-P4,"Cage Assembly Rod, 2"" Long, Ø6 mm, 4 Pack",1, € 21.71 , € 21.71 
Thorlabs,KCB1/M,"Right-Angle Kinematic Mirror Mount with Tapped Cage Rod Holes, 30 mm Cage System and SM1 Compatible, M4 and M6 Mounting Holes",1, € 133.89 , € 133.89 
Thorlabs,BB1-E02,"Ø1"" Broadband Dielectric Mirror, 400 - 750 nm",1, € 70.31 , € 70.31 
Thorlabs,ER0.5,"Cage Assembly Rod, 0.5"" Long, Ø6 mm",2, € 4.84 , € 9.68 
Thorlabs,AC127-019-A,"f = 19 mm, Ø1/2"" Achromatic Doublet, ARC: 400 - 700 nm",1, € 50.17 , € 50.17 
Thorlabs,148-801ST,"13 mm Travel Micrometer Head with 10 µm Graduations, Spherical Tip",1, € 64.42 , € 64.42 
Materialize,#2021-11/0,COUPELLE ASSY,1, € 18.32 , € 18.32 
Materialize,#2021-12/0,MICROMETER CLAMP,1, € 16.43 , € 16.43 
Materialize,#2021-13/0,MICROMETER FLAT,1, € 15.75 , € 15.75 
SAM,DIN912 M4×12,DIN912 M4×12,2, € 0.50 , € 1.00 
